Code ,Company Name,Market Segment,Industry,Fiscal Year End
18350,"TOTETSU KOGYO CO.,LTD.",Prime,Construction,March
18400,"TSUCHIYA HOLDINGS CO.,LTD.",Standard,Construction,October
18410,"SANYU CONSTRUCTION CO.,LTD.",Standard,Construction,March
18440,"OHMORI CO.,LTD.",Standard,Construction,July
18470,"ICHIKEN Co.,Ltd.",Prime,Construction,March
18480,FUJI P.S CORPORATION,Standard,Construction,March
18500,"Nankai Tatsumura Construction Co.,Ltd.",Standard,Construction,March
18520,ASANUMA CORPORATION,Prime,Construction,March
18530,"Mori-Gumi Co.,Ltd.",Standard,Construction,March
18600,TODA CORPORATION,Prime,Construction,March
18610,"Kumagai Gumi Co.,Ltd.",Prime,Construction,March
18660,KITANO CONSTRUCTION CORP.,Standard,Construction,March
18670,UEKI CORPORATION,Standard,Construction,March
18700,"YAHAGI CONSTRUCTION CO.,LTD.",Prime,Construction,March
18710,"P.S. Mitsubishi Construction Co., Ltd.",Prime,Construction,March
18730,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime,Construction,October
18780,"DAITO TRUST CONSTRUCTION CO.,LTD.",Prime,Real Estate,March
18790,SHINNIHON CORPORATION,Prime,Construction,March
18820,TOA ROAD CORPORATION,Prime,Construction,March
18840,"THE NIPPON ROAD CO.,LTD.",Prime,Construction,March
18850,TOA CORPORATION,Prime,Construction,March
18870,JDC CORPORATION,Prime,Construction,May
18880,"WAKACHIKU CONSTRUCTION CO.,LTD.",Prime,Construction,March
18900,"TOYO CONSTRUCTION CO.,LTD.",Prime,Construction,March
18930,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Prime,Construction,March
18970,"The Kaneshita Construction Co.,Ltd.",Standard,Construction,December
18980,"SEIKITOKYU KOGYO CO.,LTD.",Prime,Construction,March
18990,FUKUDA CORPORATION,Prime,Construction,December
19040,"TAISEI ONCHO CO.,LTD.",Standard,Construction,March
19050,TENOX CORPORATION,Standard,Construction,March
19090,"Nippon Dry-Chemical CO.,LTD.",Standard,Machinery,March
19110,"Sumitomo Forestry Co.,Ltd.",Prime,Construction,December
19140,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Standard,Construction,March
19210,TOMOE CORPORATION,Standard,Construction,March
19250,"DAIWA HOUSE INDUSTRY CO.,LTD.",Prime,Construction,March
19260,"RAITO KOGYO CO.,LTD.",Prime,Construction,March
19280,"Sekisui House,Ltd.",Prime,Construction,January
19290,"NITTOC CONSTRUCTION CO.,LTD.",Prime,Construction,March
19300,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Prime,Construction,March
19340,YURTEC CORPORATION,Prime,Construction,March
19380,"NIPPON RIETEC CO.,LTD.",Prime,Construction,March
19390,YONDENKO CORPORATION,Prime,Construction,March
19410,CHUDENKO CORPORATION,Prime,Construction,March
