Code ,Company Name,Market Segment,Industry,Fiscal Year End
39300,"Hatena Co.,Ltd.",Growth,Information & Communication,July
39310,VALUE GOLF Inc.,Growth,Information & Communication,January
39320,Akatsuki Inc.,Prime,Information & Communication,March
39330,"CHIeru Co.,Ltd.",Standard,Information & Communication,March
39340,"BENEFIT JAPAN Co.,LTD.",Prime,Information & Communication,March
39350,"Edia Co.,Ltd.",Growth,Information & Communication,February
39360,"Globalway,Inc.",Growth,Information & Communication,March
39370,"Ubicom Holdings,Inc.",Prime,Information & Communication,March
39390,"Kanamic Network Co.,LTD",Prime,Information & Communication,September
39400,"Nomura System Corporation Co,Ltd.",Prime,Information & Communication,December
39410,"Rengo Co.,Ltd.",Prime,Pulp & Paper,March
39430,"OHISHI SANGYO CO.,LTD.",Standard,Pulp & Paper,March
39440,"Furubayashi Shiko Co.,Ltd.",Standard,Pulp & Paper,December
39450,"Superbag Company,Limited",Standard,Pulp & Paper,March
39460,"TOMOKU CO.,LTD.",Prime,Pulp & Paper,March
39470,"Dynapac Co.,Ltd.",Standard,Pulp & Paper,December
39480,"HIKARI BUSINESS FORM CO.,LTD.",Standard,Pulp & Paper,December
39500,THE PACK CORPORATION,Prime,Pulp & Paper,December
39510,"ASAHI PRINTING CO.,LTD.",Standard,Pulp & Paper,March
39530,"OHMURA SHIGYO CO.,LTD.",Standard,Pulp & Paper,March
39540,SHOWA PAXXS CORPORATION,Standard,Pulp & Paper,March
39550,"IMURA & Co.,Ltd.",Standard,Pulp & Paper,January
39610,"Silver Egg Technology CO.,Ltd.",Growth,Information & Communication,December
39620,"CHANGE Holdings,Inc.",Prime,Information & Communication,March
39630,"Synchro Food Co.,Ltd.",Prime,Information & Communication,March
39640,AUCNET INC.,Prime,Information & Communication,December
39650,"Capital Asset Planning,Inc.",Standard,Information & Communication,September
39670,"Eltes Co.,Ltd.",Growth,Information & Communication,February
39680,"Segue Group Co.,Ltd.",Prime,Information & Communication,December
39690,ATLED CORP.,Standard,Information & Communication,March
39700,Innovation Inc.,Growth,Information & Communication,March
39740,SCAT Inc.,Standard,Information & Communication,October
39760,SHANON Inc.,Growth,Information & Communication,October
39780,"MACROMILL,INC.",Prime,Information & Communication,June
39790,"ULURU.CO.,LTD.",Growth,Information & Communication,March
39810,Beaglee Inc.,Prime,Information & Communication,December
39830,"ORO Co.,Ltd.",Prime,Information & Communication,December
39840,"User Local,Inc.",Prime,Information & Communication,June
39850,TEMONA.inc.,Prime,Information & Communication,September
39860,"bBreak Systems Company,Limited",Growth,Information & Communication,June
39870,Ecomott Inc.,Growth,Information & Communication,August
39880,"SYS Holdings Co.,Ltd.",Standard,Information & Communication,July
39890,SHARINGTECHNOLOGY.INC,Growth,Information & Communication,September
39900,"UUUM Co.,Ltd.",Growth,Information & Communication,May
39910,"Wantedly,Inc",Growth,Information & Communication,August
39920,Needs Well Inc.,Prime,Information & Communication,September
39930,PKSHA Technology Inc.,Standard,Information & Communication,September
39940,"Money Forward,Inc.",Prime,Information & Communication,November
39950,SKIYAKI Inc.,Growth,Information & Communication,January
39960,Signpost Corporation,Prime,Information & Communication,February
39970,"TRADE WORKS Co.,Ltd",Standard,Information & Communication,December
39980,"SuRaLa Net Co.,Ltd.",Growth,Information & Communication,December
40040,Resonac Holdings Corporation,Prime,Chemicals,December
40050,"SUMITOMO CHEMICAL COMPANY,LIMITED",Prime,Chemicals,March
40080,"Sumitomo Seika Chemicals Company,Limited.",Prime,Chemicals,March
40110,"Headwaters Co.,Ltd",Growth,Information & Communication,December
40120,"AXIS CO.,LTD.",Standard,Information & Communication,December
40130,"Kinjiro Co.,Ltd.",Growth,Information & Communication,December
40140,"KARADANOTE,INC.",Growth,Information & Communication,July
40150,arara inc.,Growth,Information & Communication,August
40160,"MIT Holdings CO.,LTD.",Standard,Information & Communication,November
40170,CREEMA LTD.,Growth,Information & Communication,February
40190,"Stamen Co.,Ltd.",Growth,Information & Communication,December
40200,BETREND CORPORATION,Growth,Information & Communication,December
40210,Nissan Chemical Corporation,Prime,Chemicals,March
40220,"Rasa Industries,Ltd.",Prime,Chemicals,March
40230,KUREHA CORPORATION,Prime,Chemicals,March
40250,"TAKI CHEMICAL CO.,LTD.",Prime,Chemicals,December
40260,"Konoshima Chemical Co.,Ltd.",Standard,Glass & Ceramics Products,April
40270,TAYCA CORPORATION,Prime,Chemicals,March
40280,"ISHIHARA SANGYO KAISHA,LTD.",Prime,Chemicals,March
40310,Katakura & Co-op Agri Corporation,Standard,Chemicals,March
40400,"NANKAI CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
40410,"Nippon Soda Co.,Ltd.",Prime,Chemicals,March
40420,TOSOH CORPORATION,Prime,Chemicals,March
40430,Tokuyama Corporation,Prime,Chemicals,March
40440,"Central Glass Co.,Ltd.",Prime,Chemicals,March
40450,"TOAGOSEI CO.,LTD.",Prime,Chemicals,December
40460,"OSAKA SODA CO.,LTD.",Prime,Chemicals,March
40470,"KANTO DENKA KOGYO CO.,LTD.",Prime,Chemicals,March
40510,"GMO Financial Gate,Inc.",Growth,Information & Communication,September
40520,Ficha Inc.,Growth,Information & Communication,June
40530,Sun* Inc.,Prime,Information & Communication,December
40540,"Nihon Jyoho Create Co.,Ltd.",Growth,Information & Communication,June
40550,T&S inc.,Growth,Information & Communication,November
40560,Neural Group Inc.,Growth,Information & Communication,December
40570,"Interfactory,Inc.",Growth,Information & Communication,May
40580,"Toyokumo,Inc.",Growth,Information & Communication,December
40590,"Magmag,Inc.",Standard,Information & Communication,September
40600,rakumo Inc.,Growth,Information & Communication,December
40610,Denka Company Limited,Prime,Chemicals,March
40620,"IBIDEN CO.,LTD.",Prime,Electric Appliances,March
40630,"Shin-Etsu Chemical Co.,Ltd.",Prime,Chemicals,March
40640,"Nippon Carbide Industries Company,Incorporated",Prime,Chemicals,March
40680,Basis Corporation,Growth,Information & Communication,June
40690,BlueMeme Inc.,Growth,Information & Communication,March
40710,"Plus Alpha Consulting Co.,LTD.",Prime,Information & Communication,September
40720,"Densan System Holdings Co.,Ltd.",Prime,Information & Communication,December
40730,"Global Communication Planning Co.,Ltd.",Growth,Information & Communication,June
40740,"LaKeel,Inc.",Growth,Information & Communication,December
40750,"Brains Technology,Inc.",Growth,Information & Communication,July
40760,"CNS Co.,Ltd.",Growth,Information & Communication,May
40780,"Sakai Chemical Industry Co.,Ltd.",Prime,Chemicals,March
40800,TANAKA CHEMICAL CORPORATION,Standard,Chemicals,March
40820,"DAIICHI KIGENSO KAGAKU-KOGYO CO.,LTD",Prime,Chemicals,March
40880,AIR WATER INC.,Prime,Chemicals,March
40910,NIPPON SANSO HOLDINGS CORPORATION,Prime,Chemicals,March
40920,"Nippon Chemical Industrial Co.,Ltd.",Prime,Chemicals,March
40930,"Toho Acetylene Co.,Ltd.",Prime,Chemicals,March
40940,"NIHON KAGAKU SANGYO CO.,LTD.",Standard,Chemicals,March
40950,"NIHON PARKERIZING CO.,LTD.",Prime,Chemicals,March
40970,"KOATSU GAS KOGYO CO.,LTD.",Prime,Chemicals,March
40980,"Titan Kogyo ,Ltd.",Prime,Chemicals,March
40990,SHIKOKU KASEI HOLDINGS CORPORATION,Prime,Chemicals,December
41000,TODA KOGYO CORP.,Prime,Chemicals,March
41020,"Maruo Calcium Co.,Ltd.",Standard,Chemicals,March
41070,ISE CHEMICALS CORPORATION,Standard,Chemicals,December
41090,STELLA CHEMIFA CORPORATION,Prime,Chemicals,March
41120,"Hodogaya Chemical Co.,Ltd.",Prime,Chemicals,March
41130,"TAOKA CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
41140,"NIPPON SHOKUBAI CO.,LTD.",Prime,Chemicals,March
41160,"Dainichiseika Color & Chemicals Mfg.Co.,Ltd.",Prime,Chemicals,March
41180,KANEKA CORPORATION,Prime,Chemicals,March
41190,"Nippon Pigment Company,Limited",Standard,Chemicals,March
41200,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,March
41240,OSAKA YUKA INDUSTRY LTD.,Standard,Chemicals,September
41250,SANWAYUKA INDUSTRY CORPORATION,Standard,Chemicals,March
41510,"Kyowa Kirin Co.,Ltd.",Prime,Pharmaceutical,December
41650,"PLAID,Inc.",Growth,Information & Communication,September
41660,Cacco Inc.,Growth,Information & Communication,December
41670,Kokopelli Inc.,Growth,Information & Communication,March
41680,"Yappli,Inc.",Growth,Information & Communication,December
41690,ENECHANGE Ltd.,Growth,Information & Communication,December
41700,"Kaizen Platform,Inc.",Growth,Information & Communication,December
41710,"Global Information,Inc.",Standard,Information & Communication,December
41720,"TOWA Hi SYSTEM CO.,LTD.",Standard,Information & Communication,September
41730,WACUL.INC,Growth,Information & Communication,February
41740,Appirits Inc.,Standard,Information & Communication,January
41750,coly Inc.,Growth,Information & Communication,January
41760,coconala Inc.,Growth,Information & Communication,August
41770,"i-plug,Inc.",Growth,Information & Communication,March
41780,Sharing Innovations Inc.,Growth,Information & Communication,December
41790,G-NEXT Inc.,Growth,Information & Communication,March
41800,"Appier Group,Inc.",Prime,Information & Communication,December
41820,"Mitsubishi Gas Chemical Company,Inc.",Prime,Chemicals,March
41830,"Mitsui Chemicals,Inc.",Prime,Chemicals,March
41850,JSR CORPORATION,Prime,Chemicals,March
41860,"TOKYO OHKA KOGYO CO.,LTD.",Prime,Chemicals,December
41870,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.,Prime,Chemicals,November
41880,Mitsubishi Chemical Group Corporation,Prime,Chemicals,March
41890,"KH Neochem Co.,Ltd.",Prime,Chemicals,December
41920,SpiderPlus & Co.,Growth,Information & Communication,December
41930,"Fabrica Communications Co.,LTD.",Standard,Information & Communication,March
41940,"Visional,Inc.",Growth,Information & Communication,July
41960,NEO MARKETING Inc.,Standard,Information & Communication,September
41970,"ASMARQ Co.,Ltd.",TOKYO PRO Market,Information & Communication,November
41980,"TENDA Co.,LTD.",Standard,Information & Communication,May
41990,WonderPlanet Inc.,Growth,Information & Communication,August
42000,"HCS HOLDINGS CO.,LTD.",Standard,Information & Communication,March
42020,Daicel Corporation,Prime,Chemicals,March
42030,"Sumitomo Bakelite Company,Limited",Prime,Chemicals,March
42040,"Sekisui Chemical Co.,Ltd.",Prime,Chemicals,March
42050,ZEON CORPORATION,Prime,Chemicals,March
42060,"Aica Kogyo Company,Limited",Prime,Chemicals,March
42080,UBE Corporation,Prime,Chemicals,March
42120,Sekisui Jushi Corporation,Prime,Chemicals,March
42150,C.I. TAKIRON Corporation,Prime,Chemicals,March
42160,ASAHI YUKIZAI CORPORATION,Prime,Chemicals,March
42180,"NICHIBAN CO.,LTD.",Prime,Chemicals,March
42200,RIKEN TECHNOS CORPORATION,Prime,Chemicals,March
42210,"Okura Industrial Co.,Ltd.",Prime,Chemicals,December
42220,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,March
42240,LONSEAL CORPORATION,Standard,Chemicals,March
42280,"Sekisui Kasei Co.,Ltd.",Prime,Chemicals,March
42290,"Gun Ei Chemical Industry Co.,Ltd.",Prime,Chemicals,March
42310,TIGERS POLYMER CORPORATION,Standard,Chemicals,March
42340,"Sun A.Kaken Company,Limited",Standard,Chemicals,March
42350,"Ultrafabrics Holdings Co.,Ltd.",Standard,Chemicals,December
42370,Fujipream Corporation,Standard,Chemicals,March
42380,"Miraial Co.,Ltd.",Standard,Chemicals,January
42400,"CLUSTER TECHNOLOGY CO.,LTD.",Growth,Chemicals,March
42410,atect corporation,Standard,Chemicals,March
42420,TAKAGI SEIKO CORPORATION,Standard,Chemicals,March
42430,"NIX,INC.",Standard,Chemicals,September
42450,"Daiki Axis Co.,Ltd.",Prime,Chemicals,December
42460,DaikyoNishikawa Corporation,Prime,Chemicals,March
42470,"POVAL KOGYO CO.,LTD.",Standard,Chemicals,March
42480,"Takemoto Yohki Co.,Ltd.",Prime,Chemicals,December
42490,"MORIROKU HOLDINGS COMPANY,LTD.",Prime,Chemicals,March
,,,,
,,,,
,,,,
42510,KEIWA Incorporated,Prime,Chemicals,December
42550,THECOO Inc.,Growth,Information & Communication,December
42560,"CYND Co.,Ltd.",Growth,Information & Communication,March
42570,Evixar Inc.,TOKYO PRO Market,Information & Communication,December
42580,AMIYA Corporation,Growth,Information & Communication,December
42590,ExaWizards Inc.,Growth,Information & Communication,March
42600,"Hybrid Technologies Co.,Ltd.",Growth,Information & Communication,September
42610,"AsiaQuest Co.,Ltd.",Growth,Information & Communication,December
42620,"NIFTY Lifestyle Co.,Ltd.",Growth,Information & Communication,March
42630,"SUSMED,Inc.",Growth,Information & Communication,June
42640,"SECURE,INC.",Growth,Information & Communication,December
42650,Institution for a Global Society Corporation,Growth,Information & Communication,March
42670,LIGHTWORKS Corporation,Growth,Information & Communication,January
42680,EDGE Technology Inc.,Growth,Information & Communication,April
42700,BeeX Inc.,Growth,Information & Communication,February
42720,"NIPPON KAYAKU CO.,LTD.",Prime,Chemicals,March
42740,"HOSOYA PYRO-ENGINEERING CO.,LTD.",Standard,Chemicals,March
42750,"Carlit Holdings Co.,Ltd.",Prime,Chemicals,March
42840,"SOLXYZ Co.,Ltd.",Prime,Information & Communication,December
42860,CL Holdings Inc.,Prime,Services,December
42870,JUST PLANNING INC.,Standard,Information & Communication,January
42880,"Asgent,Inc.",Standard,Information & Communication,March
42900,Prestige International Inc.,Prime,Services,March
42930,"SEPTENI HOLDINGS CO.,LTD.",Standard,Services,December
42950,"Faith, Inc.",Prime,Information & Communication,March
42980,PROTO CORPORATION,Prime,Information & Communication,March
42990,"HIMACS,Ltd.",Prime,Information & Communication,March
43010,AMUSE INC.,Prime,Services,March
43040,Estore Corporation,Standard,Information & Communication,March
43070,"Nomura Research Institute,Ltd.",Prime,Information & Communication,March
43080,J-Stream Inc.,Growth,Information & Communication,March
43100,Dream Incubator Inc.,Prime,Services,March
43120,"Cybernet Systems Co.,Ltd.",Standard,Information & Communication,December
43160,"BeMap,Inc.",Growth,Information & Communication,March
43170,Ray Corporation,Standard,Services,February
43180,"QUICK CO.,LTD.",Prime,Services,March
43190,"TAC CO.,LTD.",Standard,Services,March
43200,"CE Holdings Co.,Ltd.",Prime,Information & Communication,September
43230,"Japan System Techniques Co.,Ltd.",Prime,Information & Communication,March
43240,DENTSU GROUP INC.,Prime,Services,December
43260,INTAGE HOLDINGS Inc.,Prime,Information & Communication,June
43310,"TAKE AND GIVE. NEEDS Co.,Ltd.",Prime,Services,March
43330,"TOHO SYSTEM SCIENCE CO.,LTD.",Prime,Information & Communication,March
43340,"YUKE'S Co.,Ltd.",Standard,Information & Communication,January
43350,"IPS CO.,LTD.",Standard,Information & Communication,June
43370,PIA CORPORATION,Prime,Services,March
43410,SEIRYO ELECTRIC CORPORATION,Standard,Services,March
43430,"AEON Fantasy Co.,LTD.",Prime,Services,February
43440,SOURCENEXT CORPORATION,Prime,Information & Communication,March
43450,"CTS Co.,Ltd.",Prime,Services,March
43460,Nexyz.Group Corporation,Prime,Services,September
43470,Broadmedia Corporation,Standard,Services,March
43480,INFOCOM CORPORATION,Prime,Information & Communication,March
43500,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Prime,Retail Trade,March
43510,"YAMADA SERVICER SYNTHETIC OFFICE CO.,LTD",Standard,Other Financing Business,December
43550,"LONGLIFE HOLDING Co.,Ltd.",Standard,Services,October
43560,"APPLIED TECHNOLOGY CO.,LTD.",Standard,Information & Communication,December
43600,"MANAC Chemical Partners Co.,Ltd",Standard,Chemicals,March
43610,"KAWAGUCHI CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,November
43620,"Nippon Fine Chemical Co.,Ltd.",Prime,Chemicals,March
43650,"MATSUMOTO YUSHI-SEIYAKU CO.,LTD.",Standard,Chemicals,March
43660,Daito Chemix Corporation,Standard,Chemicals,March
43670,"KOEI CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
43680,"FUSO CHEMICAL CO.,LTD.",Prime,Chemicals,March
43690,Tri Chemical Laboratories Inc.,Prime,Chemicals,January
43700,Mobilus Corporation,Growth,Information & Communication,August
43710,Core Concept Technologies Inc.,Growth,Information & Communication,December
43720,"YMIRLINK,Inc.",Growth,Information & Communication,December
43730,"Simplex Holdings,Inc.",Prime,Information & Communication,March
43740,ROBOT PAYMENT INC.,Growth,Information & Communication,December
43750,Safie Inc.,Growth,Information & Communication,December
43760,Kufu Company Inc.,Growth,Information & Communication,September
43770,ONE CAREER Inc.,Growth,Information & Communication,December
43780,CINC Corp.,Growth,Information & Communication,October
43790,Photosynth inc.,Growth,Information & Communication,December
43800,M - mart Inc.,Growth,Information & Communication,January
43810,"BPLATS,Inc.",Growth,Information & Communication,March
43820,"HEROZ,Inc.",Prime,Information & Communication,April
43840,RAKSUL INC.,Prime,Information & Communication,July
43850,"Mercari,Inc.",Prime,Information & Communication,June
43860,"SIG Group Co.,Ltd.",Standard,Information & Communication,March
43870,"ZUU Co.,Ltd.",Growth,Information & Communication,March
43880,"AI,Inc.",Growth,Information & Communication,March
43890,"Property Data Bank,Inc.",Growth,Information & Communication,March
43900,"IPS,Inc.",Prime,Information & Communication,March
43910,"Logizard Co.,Ltd.",Growth,Information & Communication,June
43920,"Future Innovation Group,Inc.",Prime,Information & Communication,December
43930,"Bank of Innovation,Inc.",Growth,Information & Communication,September
43940,"eXmotion Co.,Ltd.",Growth,Information & Communication,November
43950,Accrete Inc.,Growth,Information & Communication,December
43960,System Support Inc.,Prime,Information & Communication,June
43970,TeamSpirit Inc.,Growth,Information & Communication,August
43980,"BroadBand Security,Inc.",Standard,Information & Communication,June
44010,ADEKA CORPORATION,Prime,Chemicals,March
44030,NOF CORPORATION,Prime,Chemicals,March
44040,"Miyoshi Oil & Fat Co.,Ltd.",Standard,Foods,December
44060,"New Japan Chemical Co.,Ltd.",Standard,Chemicals,March
44090,"TOHO CHEMICAL INDUSTRY COMPANY,LIMITED",Standard,Chemicals,March
44100,"HARIMA CHEMICALS GROUP,INC.",Prime,Chemicals,March
44120,"Science Arts,Inc.",Growth,Information & Communication,August
44130,"baudroie,inc.",Growth,Information & Communication,February
44140,"FLECT Co.,Ltd.",Growth,Information & Communication,March
44150,"BROAD ENTERPRISE CO.,LTD.",Growth,Information & Communication,December
44160,True Data Inc.,Growth,Information & Communication,March
44170,Global Security Experts Inc.,Growth,Information & Communication,March
44180,Japan Data Science Consortium Co.Ltd.,Growth,Information & Communication,June
44190,Finatext Holdings Ltd.,Growth,Information & Communication,March
44200,"eSOL Co.,Ltd.",Prime,Information & Communication,December
44210,"D.I.System Co.,Ltd.",Standard,Information & Communication,September
44220,VALUENEX Japan Inc.,Growth,Information & Communication,July
44230,ARTERIA Networks Corporation,Prime,Information & Communication,March
44240,"Amazia,inc.",Growth,Information & Communication,September
44250,Kudan Inc.,Growth,Information & Communication,March
44260,"Passlogy Co.,Ltd.",TOKYO PRO Market,Information & Communication,June
44270,"EduLab,Inc.",Growth,Information & Communication,September
44280,sinops Inc.,Growth,Information & Communication,December
44290,"Ricksoft Co.,Ltd.",Growth,Information & Communication,February
44300,"TOKAI SOFT CO.,LTD.",Standard,Information & Communication,May
44310,"Smaregi,Inc.",Growth,Information & Communication,April
44320,WingArc1st Inc.,Prime,Information & Communication,February
44330,"HITO-Communications Holdings,Inc.",Prime,Information & Communication,August
44340,"Serverworks Co.,Ltd.",Prime,Information & Communication,February
44350,"kaonavi,inc.",Growth,Information & Communication,March
44360,"MINKABU THE INFONOID,Inc.",Growth,Information & Communication,March
44370,"gooddays holdings,Inc.",Growth,Information & Communication,March
44380,Welby Inc.,Growth,Information & Communication,December
44390,"TOUMEI CO.,LTD.",Prime,Information & Communication,August
44400,WITZ Corporation,Standard,Information & Communication,August
44410,Tobila Systems Inc.,Prime,Information & Communication,October
44420,"VALTES CO.,LTD.",Growth,Information & Communication,March
44430,"Sansan,Inc.",Prime,Information & Communication,May
44440,infoNet inc.,Growth,Information & Communication,March
44450,Living Technologies Inc.,Growth,Information & Communication,September
44460,Link-U Inc.,Prime,Information & Communication,July
44470,"PBsystems,Inc.",Growth,Information & Communication,September
44480,"Chatwork Co.,Ltd.",Growth,Information & Communication,December
44490,giftee Inc.,Prime,Information & Communication,December
44500,"Power Solutions,Ltd.",Growth,Information & Communication,December
44520,Kao Corporation,Prime,Chemicals,December
44610,DKS Co.Ltd.,Prime,Chemicals,March
44620,"ISHIHARA CHEMICAL CO.,LTD.",Prime,Chemicals,March
44630,"NICCA CHEMICAL CO.,LTD.",Prime,Chemicals,December
44640,SOFT99corporation,Standard,Chemicals,March
44650,"Niitaka Co., Ltd.",Prime,Chemicals,May
44710,"SANYO CHEMICAL INDUSTRIES,LTD.",Prime,Chemicals,March
44750,HENNGE K.K.,Growth,Information & Communication,September
44760,AI CROSS Inc.,Growth,Information & Communication,December
44770,"BASE,Inc.",Growth,Information & Communication,December
44780,freee K.K.,Growth,Information & Communication,June
44790,"Makuake,Inc.",Growth,Information & Communication,September
44800,"MEDLEY,INC.",Prime,Information & Communication,December
44810,"BASE CO.,LTD.",Prime,Information & Communication,December
44820,WILLs Inc.,Growth,Information & Communication,December
44830,JMDC Inc.,Prime,Information & Communication,March
44840,"LANCERS,INC.",Growth,Information & Communication,March
44850,JTOWER Inc.,Growth,Information & Communication,March
44860,Unite and Grow Inc.,Growth,Information & Communication,December
44870,"Spacemarket,Inc.",Growth,Information & Communication,December
44880,AI inside Inc.,Growth,Information & Communication,March
44890,Payroll Inc.,Growth,Information & Communication,March
44900,VisasQ Inc.,Growth,Information & Communication,February
44910,"Computer Management Co.,Ltd.",Standard,Information & Communication,March
44920,GENETEC CORPORATION,Standard,Information & Communication,March
44930,"Cyber Security Cloud,Inc.",Growth,Information & Communication,December
44940,Vario Secure Inc.,Standard,Information & Communication,February
44950,"i Cubed Systems,Inc.",Growth,Information & Communication,June
44960,Commerce One Holdings Inc.,Growth,Information & Communication,March
44980,"Cybertrust Japan Co.,Ltd.",Growth,Information & Communication,March
44990,"Speee,Inc.",Standard,Information & Communication,September
45020,Takeda Pharmaceutical Company Limited,Prime,Pharmaceutical,March
45030,Astellas Pharma Inc.,Prime,Pharmaceutical,March
45060,"Sumitomo Pharma Co.,Ltd.",Prime,Pharmaceutical,March
45070,"Shionogi & Co.,Ltd.",Prime,Pharmaceutical,March
45120,"WAKAMOTO PHARMACEUTICAL CO.,LTD.",Standard,Pharmaceutical,March
45160,"Nippon Shinyaku Co.,Ltd.",Prime,Pharmaceutical,March
45190,"CHUGAI PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
45210,"KAKEN PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45230,"Eisai Co.,Ltd.",Prime,Pharmaceutical,March
45240,"MORISHITA JINTAN CO.,LTD.",Standard,Pharmaceutical,March
45260,"RIKEN VITAMIN CO.,LTD.",Prime,Foods,March
45270,"ROHTO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45280,"ONO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45300,"HISAMITSU PHARMACEUTICAL CO.,INC.",Prime,Pharmaceutical,February
45310,"Yuki Gosei Kogyo Co.,Ltd.",Standard,Chemicals,March
45340,"Mochida Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,March
45360,"SANTEN PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45380,"Fuso Pharmaceutical Industries,Ltd.",Prime,Pharmaceutical,March
45390,"NIPPON CHEMIPHAR CO.,LTD.",Prime,Pharmaceutical,March
45400,TSUMURA & CO.,Prime,Pharmaceutical,March
45430,TERUMO CORPORATION,Prime,Precision Instruments,March
45440,"H.U. Group Holdings,Inc.",Prime,Services,March
45470,"KISSEI PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45480,SEIKAGAKU CORPORATION,Prime,Pharmaceutical,March
45490,"EIKEN CHEMICAL CO.,LTD.",Prime,Pharmaceutical,March
45510,"TORII PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
45520,"JCR Pharmaceuticals Co.,Ltd.",Prime,Pharmaceutical,March
45530,"TOWA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45540,"Fuji Pharma Co.,Ltd.",Prime,Pharmaceutical,September
45560,"KAINOS Laboratories,Inc.",Standard,Pharmaceutical,March
45580,"CHUKYO IYAKUHIN CO.,LTD.",Standard,Pharmaceutical,March
,,,,
,,,,
,,,,
45590,"ZERIA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
45630,"AnGes,Inc.",Growth,Pharmaceutical,December
45640,"OncoTherapy Science,Inc.",Growth,Pharmaceutical,March
45650,Sosei Group Corporation,Prime,Pharmaceutical,December
45680,"DAIICHI SANKYO COMPANY,LIMITED",Prime,Pharmaceutical,March
45690,"KYORIN Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,March
45700,"Immuno-Biological Laboratories Co.,Ltd.",Growth,Pharmaceutical,March
45710,"NANO MRNA Co.,Ltd.",Growth,Pharmaceutical,March
45720,"Carna Biosciences,Inc.",Growth,Pharmaceutical,December
45740,"TAIKO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
45750,"CanBas Co.,Ltd.",Growth,Pharmaceutical,June
45760,"D.Western Therapeutics Institute, Inc.",Growth,Pharmaceutical,December
45770,"Daito Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,May
45780,"Otsuka Holdings Co.,Ltd.",Prime,Pharmaceutical,December
45790,RaQualia Pharma Inc.,Growth,Pharmaceutical,December
45810,"TAISHO PHARMACEUTICAL HOLDINGS CO.,LTD.",Standard,Pharmaceutical,March
45820,SymBio Pharmaceuticals Limited,Growth,Pharmaceutical,December
45830,Chiome Bioscience Inc.,Growth,Pharmaceutical,December
45840,Kidswell Bio Corporation,Growth,Pharmaceutical,March
45860,"Medrx Co.,Ltd.",Growth,Pharmaceutical,December
45870,PeptiDream Inc.,Prime,Pharmaceutical,December
45880,Oncolys BioPharma Inc.,Growth,Pharmaceutical,December
45910,RIBOMIC Inc.,Growth,Pharmaceutical,March
45920,SanBio Company Limited,Growth,Pharmaceutical,January
45930,HEALIOS K.K.,Growth,Pharmaceutical,December
45940,"BrightPath Biotherapeutics Co.,Ltd.",Growth,Pharmaceutical,March
45950,"MIZUHO MEDY CO.,LTD.",Standard,Pharmaceutical,December
45960,"Kubota Pharmaceutical Holdings Co.,Ltd.",Growth,Pharmaceutical,December
45970,Solasia Pharma K.K.,Growth,Pharmaceutical,December
45980,"Delta-Fly Pharma,Inc.",Growth,Pharmaceutical,March
45990,StemRIM Inc.,Growth,Pharmaceutical,July
46110,"Dai Nippon Toryo Company,Limited",Prime,Chemicals,March
46120,"NIPPON PAINT HOLDINGS CO.,LTD.",Prime,Chemicals,December
46130,"KANSAI PAINT CO.,LTD.",Prime,Chemicals,March
46150,"SHINTO PAINT COMPANY,LIMITED",Standard,Chemicals,March
46160,"KAWAKAMI PAINT MANUFACTURING CO.,LTD.",Standard,Chemicals,November
46170,"Chugoku Marine Paints,Ltd.",Prime,Chemicals,March
46190,"Nihon Tokushu Toryo Co.,Ltd.",Prime,Chemicals,March
46200,"FUJIKURA KASEI CO.,LTD.",Prime,Chemicals,March
46210,"ROCK PAINT CO.,LTD.",Standard,Chemicals,March
46230,ASAHIPEN CORPORATION,Standard,Chemicals,March
46240,"Isamu Paint Co.,Ltd.",Standard,Chemicals,March
46250,"ATOMIX CO.,LTD.",Standard,Chemicals,March
46260,"TAIYO HOLDINGS CO.,LTD.",Prime,Chemicals,March
46270,"NATOCO CO.,LTD.",Standard,Chemicals,October
46280,"SK KAKEN CO.,LTD.",Standard,Chemicals,March
46290,"DAISHIN CHEMICAL CO.,LTD.",Standard,Chemicals,March
46310,DIC Corporation,Prime,Chemicals,December
