Code.T,Company Name,Market Segment,Industry,Fiscal Year End
1820.T,"Nishimatsu Construction Co.,Ltd.",Prime,Construction,March
1821.T,"Sumitomo Mitsui Construction Co., Ltd.",Prime,Construction,March
1822.T,DAIHO CORPORATION,Prime,Construction,March
1826.T,"Sata Construction Co.,Ltd.",Standard,Construction,March
1827.T,NAKANO CORPORATION,Standard,Construction,March
1828.T,TANABE ENGINEERING CORPORATION,Standard,Construction,March
1833.T,OKUMURA CORPORATION,Prime,Construction,March
1835.T,"TOTETSU KOGYO CO.,LTD.",Prime,Construction,March
1840.T,"TSUCHIYA HOLDINGS CO.,LTD.",Standard,Construction,October
1841.T,"SANYU CONSTRUCTION CO.,LTD.",Standard,Construction,March
1844.T,"OHMORI CO.,LTD.",Standard,Construction,July
1847.T,"ICHIKEN Co.,Ltd.",Prime,Construction,March
1848.T,FUJI P.S CORPORATION,Standard,Construction,March
1850.T,"Nankai Tatsumura Construction Co.,Ltd.",Standard,Construction,March
1852.T,ASANUMA CORPORATION,Prime,Construction,March
1853.T,"Mori-Gumi Co.,Ltd.",Standard,Construction,March
1860.T,TODA CORPORATION,Prime,Construction,March
1861.T,"Kumagai Gumi Co.,Ltd.",Prime,Construction,March
1866.T,KITANO CONSTRUCTION CORP.,Standard,Construction,March
1867.T,UEKI CORPORATION,Standard,Construction,March
1870.T,"YAHAGI CONSTRUCTION CO.,LTD.",Prime,Construction,March
1871.T,"P.S. Mitsubishi Construction Co., Ltd.",Prime,Construction,March
1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime,Construction,October
1878.T,"DAITO TRUST CONSTRUCTION CO.,LTD.",Prime,Real Estate,March
1879.T,SHINNIHON CORPORATION,Prime,Construction,March
1882.T,TOA ROAD CORPORATION,Prime,Construction,March
1884.T,"THE NIPPON ROAD CO.,LTD.",Prime,Construction,March
1885.T,TOA CORPORATION,Prime,Construction,March
1887.T,JDC CORPORATION,Prime,Construction,May
