Code.T,Company Name,Market Segment,Industry,Fiscal Year End
3936.T,"Globalway,Inc.",Growth,Information & Communication,March
3937.T,"Ubicom Holdings,Inc.",Prime,Information & Communication,March
3939.T,"Kanamic Network Co.,LTD",Prime,Information & Communication,September
3940.T,"Nomura System Corporation Co,Ltd.",Prime,Information & Communication,December
3941.T,"Rengo Co.,Ltd.",Prime,Pulp & Paper,March
3943.T,"OHISHI SANGYO CO.,LTD.",Standard,Pulp & Paper,March
3944.T,"Furubayashi Shiko Co.,Ltd.",Standard,Pulp & Paper,December
3945.T,"Superbag Company,Limited",Standard,Pulp & Paper,March
3946.T,"TOMOKU CO.,LTD.",Prime,Pulp & Paper,March
3947.T,"Dynapac Co.,Ltd.",Standard,Pulp & Paper,December
3948.T,"HIKARI BUSINESS FORM CO.,LTD.",Standard,Pulp & Paper,December
3950.T,THE PACK CORPORATION,Prime,Pulp & Paper,December
3951.T,"ASAHI PRINTING CO.,LTD.",Standard,Pulp & Paper,March
3953.T,"OHMURA SHIGYO CO.,LTD.",Standard,Pulp & Paper,March
3954.T,SHOWA PAXXS CORPORATION,Standard,Pulp & Paper,March
3955.T,"IMURA & Co.,Ltd.",Standard,Pulp & Paper,January
3961.T,"Silver Egg Technology CO.,Ltd.",Growth,Information & Communication,December
3962.T,"CHANGE Holdings,Inc.",Prime,Information & Communication,March
3963.T,"Synchro Food Co.,Ltd.",Prime,Information & Communication,March
3964.T,AUCNET INC.,Prime,Information & Communication,December
3965.T,"Capital Asset Planning,Inc.",Standard,Information & Communication,September
3967.T,"Eltes Co.,Ltd.",Growth,Information & Communication,February
3968.T,"Segue Group Co.,Ltd.",Prime,Information & Communication,December
3969.T,ATLED CORP.,Standard,Information & Communication,March
3970.T,Innovation Inc.,Growth,Information & Communication,March
3974.T,SCAT Inc.,Standard,Information & Communication,October
3976.T,SHANON Inc.,Growth,Information & Communication,October
3978.T,"MACROMILL,INC.",Prime,Information & Communication,June
3979.T,"ULURU.CO.,LTD.",Growth,Information & Communication,March
3981.T,Beaglee Inc.,Prime,Information & Communication,December
3983.T,"ORO Co.,Ltd.",Prime,Information & Communication,December
3984.T,"User Local,Inc.",Prime,Information & Communication,June
3985.T,TEMONA.inc.,Prime,Information & Communication,September
3986.T,"bBreak Systems Company,Limited",Growth,Information & Communication,June
3987.T,Ecomott Inc.,Growth,Information & Communication,August
3988.T,"SYS Holdings Co.,Ltd.",Standard,Information & Communication,July
3989.T,SHARINGTECHNOLOGY.INC,Growth,Information & Communication,September
3990.T,"UUUM Co.,Ltd.",Growth,Information & Communication,May
3991.T,"Wantedly,Inc",Growth,Information & Communication,August
3992.T,Needs Well Inc.,Prime,Information & Communication,September
3993.T,PKSHA Technology Inc.,Standard,Information & Communication,September
3994.T,"Money Forward,Inc.",Prime,Information & Communication,November
3995.T,SKIYAKI Inc.,Growth,Information & Communication,January
3996.T,Signpost Corporation,Prime,Information & Communication,February
3997.T,"TRADE WORKS Co.,Ltd",Standard,Information & Communication,December
3998.T,"SuRaLa Net Co.,Ltd.",Growth,Information & Communication,December
4004.T,Resonac Holdings Corporation,Prime,Chemicals,December
4005.T,"SUMITOMO CHEMICAL COMPANY,LIMITED",Prime,Chemicals,March
4008.T,"Sumitomo Seika Chemicals Company,Limited.",Prime,Chemicals,March
4011.T,"Headwaters Co.,Ltd",Growth,Information & Communication,December
4012.T,"AXIS CO.,LTD.",Standard,Information & Communication,December
4013.T,"Kinjiro Co.,Ltd.",Growth,Information & Communication,December
4014.T,"KARADANOTE,INC.",Growth,Information & Communication,July
4015.T,arara inc.,Growth,Information & Communication,August
4016.T,"MIT Holdings CO.,LTD.",Standard,Information & Communication,November
4017.T,CREEMA LTD.,Growth,Information & Communication,February
4019.T,"Stamen Co.,Ltd.",Growth,Information & Communication,December
4020.T,BETREND CORPORATION,Growth,Information & Communication,December
4021.T,Nissan Chemical Corporation,Prime,Chemicals,March
4022.T,"Rasa Industries,Ltd.",Prime,Chemicals,March
4023.T,KUREHA CORPORATION,Prime,Chemicals,March
4025.T,"TAKI CHEMICAL CO.,LTD.",Prime,Chemicals,December
4026.T,"Konoshima Chemical Co.,Ltd.",Standard,Glass & Ceramics Products,April
4027.T,TAYCA CORPORATION,Prime,Chemicals,March
4028.T,"ISHIHARA SANGYO KAISHA,LTD.",Prime,Chemicals,March
4031.T,Katakura & Co-op Agri Corporation,Standard,Chemicals,March
4040.T,"NANKAI CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
4041.T,"Nippon Soda Co.,Ltd.",Prime,Chemicals,March
4042.T,TOSOH CORPORATION,Prime,Chemicals,March
4043.T,Tokuyama Corporation,Prime,Chemicals,March
4044.T,"Central Glass Co.,Ltd.",Prime,Chemicals,March
4045.T,"TOAGOSEI CO.,LTD.",Prime,Chemicals,December
4046.T,"OSAKA SODA CO.,LTD.",Prime,Chemicals,March
4047.T,"KANTO DENKA KOGYO CO.,LTD.",Prime,Chemicals,March
4051.T,"GMO Financial Gate,Inc.",Growth,Information & Communication,September
4052.T,Ficha Inc.,Growth,Information & Communication,June
4053.T,Sun* Inc.,Prime,Information & Communication,December
4054.T,"Nihon Jyoho Create Co.,Ltd.",Growth,Information & Communication,June
4055.T,T&S inc.,Growth,Information & Communication,November
4056.T,Neural Group Inc.,Growth,Information & Communication,December
4057.T,"Interfactory,Inc.",Growth,Information & Communication,May
4058.T,"Toyokumo,Inc.",Growth,Information & Communication,December
4059.T,"Magmag,Inc.",Standard,Information & Communication,September
4060.T,rakumo Inc.,Growth,Information & Communication,December
4061.T,Denka Company Limited,Prime,Chemicals,March
4062.T,"IBIDEN CO.,LTD.",Prime,Electric Appliances,March
4063.T,"Shin-Etsu Chemical Co.,Ltd.",Prime,Chemicals,March
4064.T,"Nippon Carbide Industries Company,Incorporated",Prime,Chemicals,March
4068.T,Basis Corporation,Growth,Information & Communication,June
4069.T,BlueMeme Inc.,Growth,Information & Communication,March
4071.T,"Plus Alpha Consulting Co.,LTD.",Prime,Information & Communication,September
4072.T,"Densan System Holdings Co.,Ltd.",Prime,Information & Communication,December
4073.T,"Global Communication Planning Co.,Ltd.",Growth,Information & Communication,June
4074.T,"LaKeel,Inc.",Growth,Information & Communication,December
4075.T,"Brains Technology,Inc.",Growth,Information & Communication,July
4076.T,"CNS Co.,Ltd.",Growth,Information & Communication,May
4078.T,"Sakai Chemical Industry Co.,Ltd.",Prime,Chemicals,March
4080.T,TANAKA CHEMICAL CORPORATION,Standard,Chemicals,March
4082.T,"DAIICHI KIGENSO KAGAKU-KOGYO CO.,LTD",Prime,Chemicals,March
4088.T,AIR WATER INC.,Prime,Chemicals,March
4091.T,NIPPON SANSO HOLDINGS CORPORATION,Prime,Chemicals,March
4092.T,"Nippon Chemical Industrial Co.,Ltd.",Prime,Chemicals,March
4093.T,"Toho Acetylene Co.,Ltd.",Prime,Chemicals,March
4094.T,"NIHON KAGAKU SANGYO CO.,LTD.",Standard,Chemicals,March
4095.T,"NIHON PARKERIZING CO.,LTD.",Prime,Chemicals,March
4097.T,"KOATSU GAS KOGYO CO.,LTD.",Prime,Chemicals,March
4098.T,"Titan Kogyo ,Ltd.",Prime,Chemicals,March
4099.T,SHIKOKU KASEI HOLDINGS CORPORATION,Prime,Chemicals,December
4100.T,TODA KOGYO CORP.,Prime,Chemicals,March
4102.T,"Maruo Calcium Co.,Ltd.",Standard,Chemicals,March
4107.T,ISE CHEMICALS CORPORATION,Standard,Chemicals,December
4109.T,STELLA CHEMIFA CORPORATION,Prime,Chemicals,March
4112.T,"Hodogaya Chemical Co.,Ltd.",Prime,Chemicals,March
4113.T,"TAOKA CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
4114.T,"NIPPON SHOKUBAI CO.,LTD.",Prime,Chemicals,March
4116.T,"Dainichiseika Color & Chemicals Mfg.Co.,Ltd.",Prime,Chemicals,March
4118.T,KANEKA CORPORATION,Prime,Chemicals,March
4119.T,"Nippon Pigment Company,Limited",Standard,Chemicals,March
4120.T,"SUGAI CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,March
4124.T,OSAKA YUKA INDUSTRY LTD.,Standard,Chemicals,September
4125.T,SANWAYUKA INDUSTRY CORPORATION,Standard,Chemicals,March
4151.T,"Kyowa Kirin Co.,Ltd.",Prime,Pharmaceutical,December
4165.T,"PLAID,Inc.",Growth,Information & Communication,September
4166.T,Cacco Inc.,Growth,Information & Communication,December
4167.T,Kokopelli Inc.,Growth,Information & Communication,March
4168.T,"Yappli,Inc.",Growth,Information & Communication,December
4169.T,ENECHANGE Ltd.,Growth,Information & Communication,December
4170.T,"Kaizen Platform,Inc.",Growth,Information & Communication,December
4171.T,"Global Information,Inc.",Standard,Information & Communication,December
4172.T,"TOWA Hi SYSTEM CO.,LTD.",Standard,Information & Communication,September
4173.T,WACUL.INC,Growth,Information & Communication,February
4174.T,Appirits Inc.,Standard,Information & Communication,January
4175.T,coly Inc.,Growth,Information & Communication,January
4176.T,coconala Inc.,Growth,Information & Communication,August
4177.T,"i-plug,Inc.",Growth,Information & Communication,March
4178.T,Sharing Innovations Inc.,Growth,Information & Communication,December
4179.T,G-NEXT Inc.,Growth,Information & Communication,March
4180.T,"Appier Group,Inc.",Prime,Information & Communication,December
4182.T,"Mitsubishi Gas Chemical Company,Inc.",Prime,Chemicals,March
4183.T,"Mitsui Chemicals,Inc.",Prime,Chemicals,March
4185.T,JSR CORPORATION,Prime,Chemicals,March
4186.T,"TOKYO OHKA KOGYO CO.,LTD.",Prime,Chemicals,December
4187.T,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.,Prime,Chemicals,November
4188.T,Mitsubishi Chemical Group Corporation,Prime,Chemicals,March
4189.T,"KH Neochem Co.,Ltd.",Prime,Chemicals,December
4192.T,SpiderPlus & Co.,Growth,Information & Communication,December
4193.T,"Fabrica Communications Co.,LTD.",Standard,Information & Communication,March
4194.T,"Visional,Inc.",Growth,Information & Communication,July
4196.T,NEO MARKETING Inc.,Standard,Information & Communication,September
4197.T,"ASMARQ Co.,Ltd.",TOKYO PRO Market,Information & Communication,November
4198.T,"TENDA Co.,LTD.",Standard,Information & Communication,May
4199.T,WonderPlanet Inc.,Growth,Information & Communication,August
4200.T,"HCS HOLDINGS CO.,LTD.",Standard,Information & Communication,March
4202.T,Daicel Corporation,Prime,Chemicals,March
4203.T,"Sumitomo Bakelite Company,Limited",Prime,Chemicals,March
4204.T,"Sekisui Chemical Co.,Ltd.",Prime,Chemicals,March
4205.T,ZEON CORPORATION,Prime,Chemicals,March
4206.T,"Aica Kogyo Company,Limited",Prime,Chemicals,March
4208.T,UBE Corporation,Prime,Chemicals,March
4212.T,Sekisui Jushi Corporation,Prime,Chemicals,March
4215.T,C.I. TAKIRON Corporation,Prime,Chemicals,March
4216.T,ASAHI YUKIZAI CORPORATION,Prime,Chemicals,March
4218.T,"NICHIBAN CO.,LTD.",Prime,Chemicals,March
4220.T,RIKEN TECHNOS CORPORATION,Prime,Chemicals,March
4221.T,"Okura Industrial Co.,Ltd.",Prime,Chemicals,December
4222.T,"KODAMA CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,March
4224.T,LONSEAL CORPORATION,Standard,Chemicals,March
4228.T,"Sekisui Kasei Co.,Ltd.",Prime,Chemicals,March
4229.T,"Gun Ei Chemical Industry Co.,Ltd.",Prime,Chemicals,March
4231.T,TIGERS POLYMER CORPORATION,Standard,Chemicals,March
4234.T,"Sun A.Kaken Company,Limited",Standard,Chemicals,March
4235.T,"Ultrafabrics Holdings Co.,Ltd.",Standard,Chemicals,December
4237.T,Fujipream Corporation,Standard,Chemicals,March
4238.T,"Miraial Co.,Ltd.",Standard,Chemicals,January
4240.T,"CLUSTER TECHNOLOGY CO.,LTD.",Growth,Chemicals,March
4241.T,atect corporation,Standard,Chemicals,March
4242.T,TAKAGI SEIKO CORPORATION,Standard,Chemicals,March
4243.T,"NIX,INC.",Standard,Chemicals,September
4245.T,"Daiki Axis Co.,Ltd.",Prime,Chemicals,December
4246.T,DaikyoNishikawa Corporation,Prime,Chemicals,March
4247.T,"POVAL KOGYO CO.,LTD.",Standard,Chemicals,March
4248.T,"Takemoto Yohki Co.,Ltd.",Prime,Chemicals,December
4249.T,"MORIROKU HOLDINGS COMPANY,LTD.",Prime,Chemicals,March
.T,,,,
.T,,,,
.T,,,,
4251.T,KEIWA Incorporated,Prime,Chemicals,December
4255.T,THECOO Inc.,Growth,Information & Communication,December
4256.T,"CYND Co.,Ltd.",Growth,Information & Communication,March
4257.T,Evixar Inc.,TOKYO PRO Market,Information & Communication,December
4258.T,AMIYA Corporation,Growth,Information & Communication,December
4259.T,ExaWizards Inc.,Growth,Information & Communication,March
4260.T,"Hybrid Technologies Co.,Ltd.",Growth,Information & Communication,September
4261.T,"AsiaQuest Co.,Ltd.",Growth,Information & Communication,December
4262.T,"NIFTY Lifestyle Co.,Ltd.",Growth,Information & Communication,March
4263.T,"SUSMED,Inc.",Growth,Information & Communication,June
4264.T,"SECURE,INC.",Growth,Information & Communication,December
4265.T,Institution for a Global Society Corporation,Growth,Information & Communication,March
4267.T,LIGHTWORKS Corporation,Growth,Information & Communication,January
4268.T,EDGE Technology Inc.,Growth,Information & Communication,April
4270.T,BeeX Inc.,Growth,Information & Communication,February
4272.T,"NIPPON KAYAKU CO.,LTD.",Prime,Chemicals,March
4274.T,"HOSOYA PYRO-ENGINEERING CO.,LTD.",Standard,Chemicals,March
4275.T,"Carlit Holdings Co.,Ltd.",Prime,Chemicals,March
4284.T,"SOLXYZ Co.,Ltd.",Prime,Information & Communication,December
4286.T,CL Holdings Inc.,Prime,Services,December
4287.T,JUST PLANNING INC.,Standard,Information & Communication,January
4288.T,"Asgent,Inc.",Standard,Information & Communication,March
4290.T,Prestige International Inc.,Prime,Services,March
4293.T,"SEPTENI HOLDINGS CO.,LTD.",Standard,Services,December
4295.T,"Faith, Inc.",Prime,Information & Communication,March
4298.T,PROTO CORPORATION,Prime,Information & Communication,March
4299.T,"HIMACS,Ltd.",Prime,Information & Communication,March
4301.T,AMUSE INC.,Prime,Services,March
4304.T,Estore Corporation,Standard,Information & Communication,March
4307.T,"Nomura Research Institute,Ltd.",Prime,Information & Communication,March
4308.T,J-Stream Inc.,Growth,Information & Communication,March
4310.T,Dream Incubator Inc.,Prime,Services,March
4312.T,"Cybernet Systems Co.,Ltd.",Standard,Information & Communication,December
4316.T,"BeMap,Inc.",Growth,Information & Communication,March
4317.T,Ray Corporation,Standard,Services,February
4318.T,"QUICK CO.,LTD.",Prime,Services,March
4319.T,"TAC CO.,LTD.",Standard,Services,March
4320.T,"CE Holdings Co.,Ltd.",Prime,Information & Communication,September
4323.T,"Japan System Techniques Co.,Ltd.",Prime,Information & Communication,March
4324.T,DENTSU GROUP INC.,Prime,Services,December
4326.T,INTAGE HOLDINGS Inc.,Prime,Information & Communication,June
4331.T,"TAKE AND GIVE. NEEDS Co.,Ltd.",Prime,Services,March
4333.T,"TOHO SYSTEM SCIENCE CO.,LTD.",Prime,Information & Communication,March
4334.T,"YUKE'S Co.,Ltd.",Standard,Information & Communication,January
4335.T,"IPS CO.,LTD.",Standard,Information & Communication,June
4337.T,PIA CORPORATION,Prime,Services,March
4341.T,SEIRYO ELECTRIC CORPORATION,Standard,Services,March
4343.T,"AEON Fantasy Co.,LTD.",Prime,Services,February
4344.T,SOURCENEXT CORPORATION,Prime,Information & Communication,March
4345.T,"CTS Co.,Ltd.",Prime,Services,March
4346.T,Nexyz.Group Corporation,Prime,Services,September
4347.T,Broadmedia Corporation,Standard,Services,March
4348.T,INFOCOM CORPORATION,Prime,Information & Communication,March
4350.T,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Prime,Retail Trade,March
4351.T,"YAMADA SERVICER SYNTHETIC OFFICE CO.,LTD",Standard,Other Financing Business,December
4355.T,"LONGLIFE HOLDING Co.,Ltd.",Standard,Services,October
4356.T,"APPLIED TECHNOLOGY CO.,LTD.",Standard,Information & Communication,December
4360.T,"MANAC Chemical Partners Co.,Ltd",Standard,Chemicals,March
4361.T,"KAWAGUCHI CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,November
4362.T,"Nippon Fine Chemical Co.,Ltd.",Prime,Chemicals,March
4365.T,"MATSUMOTO YUSHI-SEIYAKU CO.,LTD.",Standard,Chemicals,March
4366.T,Daito Chemix Corporation,Standard,Chemicals,March
4367.T,"KOEI CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March
4368.T,"FUSO CHEMICAL CO.,LTD.",Prime,Chemicals,March
4369.T,Tri Chemical Laboratories Inc.,Prime,Chemicals,January
4370.T,Mobilus Corporation,Growth,Information & Communication,August
4371.T,Core Concept Technologies Inc.,Growth,Information & Communication,December
4372.T,"YMIRLINK,Inc.",Growth,Information & Communication,December
4373.T,"Simplex Holdings,Inc.",Prime,Information & Communication,March
4374.T,ROBOT PAYMENT INC.,Growth,Information & Communication,December
4375.T,Safie Inc.,Growth,Information & Communication,December
4376.T,Kufu Company Inc.,Growth,Information & Communication,September
4377.T,ONE CAREER Inc.,Growth,Information & Communication,December
4378.T,CINC Corp.,Growth,Information & Communication,October
4379.T,Photosynth inc.,Growth,Information & Communication,December
4380.T,M - mart Inc.,Growth,Information & Communication,January
4381.T,"BPLATS,Inc.",Growth,Information & Communication,March
4382.T,"HEROZ,Inc.",Prime,Information & Communication,April
4384.T,RAKSUL INC.,Prime,Information & Communication,July
4385.T,"Mercari,Inc.",Prime,Information & Communication,June
4386.T,"SIG Group Co.,Ltd.",Standard,Information & Communication,March
4387.T,"ZUU Co.,Ltd.",Growth,Information & Communication,March
4388.T,"AI,Inc.",Growth,Information & Communication,March
4389.T,"Property Data Bank,Inc.",Growth,Information & Communication,March
4390.T,"IPS,Inc.",Prime,Information & Communication,March
4391.T,"Logizard Co.,Ltd.",Growth,Information & Communication,June
4392.T,"Future Innovation Group,Inc.",Prime,Information & Communication,December
4393.T,"Bank of Innovation,Inc.",Growth,Information & Communication,September
4394.T,"eXmotion Co.,Ltd.",Growth,Information & Communication,November
4395.T,Accrete Inc.,Growth,Information & Communication,December
4396.T,System Support Inc.,Prime,Information & Communication,June
4397.T,TeamSpirit Inc.,Growth,Information & Communication,August
4398.T,"BroadBand Security,Inc.",Standard,Information & Communication,June
4401.T,ADEKA CORPORATION,Prime,Chemicals,March
4403.T,NOF CORPORATION,Prime,Chemicals,March
4404.T,"Miyoshi Oil & Fat Co.,Ltd.",Standard,Foods,December
4406.T,"New Japan Chemical Co.,Ltd.",Standard,Chemicals,March
4409.T,"TOHO CHEMICAL INDUSTRY COMPANY,LIMITED",Standard,Chemicals,March
4410.T,"HARIMA CHEMICALS GROUP,INC.",Prime,Chemicals,March
4412.T,"Science Arts,Inc.",Growth,Information & Communication,August
4413.T,"baudroie,inc.",Growth,Information & Communication,February
4414.T,"FLECT Co.,Ltd.",Growth,Information & Communication,March
4415.T,"BROAD ENTERPRISE CO.,LTD.",Growth,Information & Communication,December
4416.T,True Data Inc.,Growth,Information & Communication,March
4417.T,Global Security Experts Inc.,Growth,Information & Communication,March
4418.T,Japan Data Science Consortium Co.Ltd.,Growth,Information & Communication,June
4419.T,Finatext Holdings Ltd.,Growth,Information & Communication,March
4420.T,"eSOL Co.,Ltd.",Prime,Information & Communication,December
4421.T,"D.I.System Co.,Ltd.",Standard,Information & Communication,September
4422.T,VALUENEX Japan Inc.,Growth,Information & Communication,July
4423.T,ARTERIA Networks Corporation,Prime,Information & Communication,March
4424.T,"Amazia,inc.",Growth,Information & Communication,September
4425.T,Kudan Inc.,Growth,Information & Communication,March
4426.T,"Passlogy Co.,Ltd.",TOKYO PRO Market,Information & Communication,June
4427.T,"EduLab,Inc.",Growth,Information & Communication,September
4428.T,sinops Inc.,Growth,Information & Communication,December
4429.T,"Ricksoft Co.,Ltd.",Growth,Information & Communication,February
4430.T,"TOKAI SOFT CO.,LTD.",Standard,Information & Communication,May
4431.T,"Smaregi,Inc.",Growth,Information & Communication,April
4432.T,WingArc1st Inc.,Prime,Information & Communication,February
4433.T,"HITO-Communications Holdings,Inc.",Prime,Information & Communication,August
4434.T,"Serverworks Co.,Ltd.",Prime,Information & Communication,February
4435.T,"kaonavi,inc.",Growth,Information & Communication,March
4436.T,"MINKABU THE INFONOID,Inc.",Growth,Information & Communication,March
4437.T,"gooddays holdings,Inc.",Growth,Information & Communication,March
4438.T,Welby Inc.,Growth,Information & Communication,December
4439.T,"TOUMEI CO.,LTD.",Prime,Information & Communication,August
4440.T,WITZ Corporation,Standard,Information & Communication,August
4441.T,Tobila Systems Inc.,Prime,Information & Communication,October
4442.T,"VALTES CO.,LTD.",Growth,Information & Communication,March
4443.T,"Sansan,Inc.",Prime,Information & Communication,May
4444.T,infoNet inc.,Growth,Information & Communication,March
4445.T,Living Technologies Inc.,Growth,Information & Communication,September
4446.T,Link-U Inc.,Prime,Information & Communication,July
4447.T,"PBsystems,Inc.",Growth,Information & Communication,September
4448.T,"Chatwork Co.,Ltd.",Growth,Information & Communication,December
4449.T,giftee Inc.,Prime,Information & Communication,December
4450.T,"Power Solutions,Ltd.",Growth,Information & Communication,December
4452.T,Kao Corporation,Prime,Chemicals,December
4461.T,DKS Co.Ltd.,Prime,Chemicals,March
4462.T,"ISHIHARA CHEMICAL CO.,LTD.",Prime,Chemicals,March
4463.T,"NICCA CHEMICAL CO.,LTD.",Prime,Chemicals,December
4464.T,SOFT99corporation,Standard,Chemicals,March
4465.T,"Niitaka Co., Ltd.",Prime,Chemicals,May
4471.T,"SANYO CHEMICAL INDUSTRIES,LTD.",Prime,Chemicals,March
4475.T,HENNGE K.K.,Growth,Information & Communication,September
4476.T,AI CROSS Inc.,Growth,Information & Communication,December
4477.T,"BASE,Inc.",Growth,Information & Communication,December
4478.T,freee K.K.,Growth,Information & Communication,June
4479.T,"Makuake,Inc.",Growth,Information & Communication,September
4480.T,"MEDLEY,INC.",Prime,Information & Communication,December
4481.T,"BASE CO.,LTD.",Prime,Information & Communication,December
4482.T,WILLs Inc.,Growth,Information & Communication,December
4483.T,JMDC Inc.,Prime,Information & Communication,March
4484.T,"LANCERS,INC.",Growth,Information & Communication,March
4485.T,JTOWER Inc.,Growth,Information & Communication,March
4486.T,Unite and Grow Inc.,Growth,Information & Communication,December
4487.T,"Spacemarket,Inc.",Growth,Information & Communication,December
4488.T,AI inside Inc.,Growth,Information & Communication,March
4489.T,Payroll Inc.,Growth,Information & Communication,March
4490.T,VisasQ Inc.,Growth,Information & Communication,February
4491.T,"Computer Management Co.,Ltd.",Standard,Information & Communication,March
4492.T,GENETEC CORPORATION,Standard,Information & Communication,March
4493.T,"Cyber Security Cloud,Inc.",Growth,Information & Communication,December
4494.T,Vario Secure Inc.,Standard,Information & Communication,February
4495.T,"i Cubed Systems,Inc.",Growth,Information & Communication,June
4496.T,Commerce One Holdings Inc.,Growth,Information & Communication,March
4498.T,"Cybertrust Japan Co.,Ltd.",Growth,Information & Communication,March
4499.T,"Speee,Inc.",Standard,Information & Communication,September
4502.T,Takeda Pharmaceutical Company Limited,Prime,Pharmaceutical,March
4503.T,Astellas Pharma Inc.,Prime,Pharmaceutical,March
4506.T,"Sumitomo Pharma Co.,Ltd.",Prime,Pharmaceutical,March
4507.T,"Shionogi & Co.,Ltd.",Prime,Pharmaceutical,March
4512.T,"WAKAMOTO PHARMACEUTICAL CO.,LTD.",Standard,Pharmaceutical,March
4516.T,"Nippon Shinyaku Co.,Ltd.",Prime,Pharmaceutical,March
4519.T,"CHUGAI PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
4521.T,"KAKEN PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4523.T,"Eisai Co.,Ltd.",Prime,Pharmaceutical,March
4524.T,"MORISHITA JINTAN CO.,LTD.",Standard,Pharmaceutical,March
4526.T,"RIKEN VITAMIN CO.,LTD.",Prime,Foods,March
4527.T,"ROHTO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4528.T,"ONO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4530.T,"HISAMITSU PHARMACEUTICAL CO.,INC.",Prime,Pharmaceutical,February
4531.T,"Yuki Gosei Kogyo Co.,Ltd.",Standard,Chemicals,March
4534.T,"Mochida Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,March
4536.T,"SANTEN PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4538.T,"Fuso Pharmaceutical Industries,Ltd.",Prime,Pharmaceutical,March
4539.T,"NIPPON CHEMIPHAR CO.,LTD.",Prime,Pharmaceutical,March
4540.T,TSUMURA & CO.,Prime,Pharmaceutical,March
4543.T,TERUMO CORPORATION,Prime,Precision Instruments,March
4544.T,"H.U. Group Holdings,Inc.",Prime,Services,March
4547.T,"KISSEI PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4548.T,SEIKAGAKU CORPORATION,Prime,Pharmaceutical,March
4549.T,"EIKEN CHEMICAL CO.,LTD.",Prime,Pharmaceutical,March
4551.T,"TORII PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
4552.T,"JCR Pharmaceuticals Co.,Ltd.",Prime,Pharmaceutical,March
4553.T,"TOWA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4554.T,"Fuji Pharma Co.,Ltd.",Prime,Pharmaceutical,September
4556.T,"KAINOS Laboratories,Inc.",Standard,Pharmaceutical,March
4558.T,"CHUKYO IYAKUHIN CO.,LTD.",Standard,Pharmaceutical,March
.T,,,,
.T,,,,
.T,,,,
4559.T,"ZERIA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March
4563.T,"AnGes,Inc.",Growth,Pharmaceutical,December
4564.T,"OncoTherapy Science,Inc.",Growth,Pharmaceutical,March
4565.T,Sosei Group Corporation,Prime,Pharmaceutical,December
4568.T,"DAIICHI SANKYO COMPANY,LIMITED",Prime,Pharmaceutical,March
4569.T,"KYORIN Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,March
4570.T,"Immuno-Biological Laboratories Co.,Ltd.",Growth,Pharmaceutical,March
4571.T,"NANO MRNA Co.,Ltd.",Growth,Pharmaceutical,March
4572.T,"Carna Biosciences,Inc.",Growth,Pharmaceutical,December
4574.T,"TAIKO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December
4575.T,"CanBas Co.,Ltd.",Growth,Pharmaceutical,June
4576.T,"D.Western Therapeutics Institute, Inc.",Growth,Pharmaceutical,December
4577.T,"Daito Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,May
4578.T,"Otsuka Holdings Co.,Ltd.",Prime,Pharmaceutical,December
4579.T,RaQualia Pharma Inc.,Growth,Pharmaceutical,December
4581.T,"TAISHO PHARMACEUTICAL HOLDINGS CO.,LTD.",Standard,Pharmaceutical,March
4582.T,SymBio Pharmaceuticals Limited,Growth,Pharmaceutical,December
4583.T,Chiome Bioscience Inc.,Growth,Pharmaceutical,December
4584.T,Kidswell Bio Corporation,Growth,Pharmaceutical,March
4586.T,"Medrx Co.,Ltd.",Growth,Pharmaceutical,December
4587.T,PeptiDream Inc.,Prime,Pharmaceutical,December
4588.T,Oncolys BioPharma Inc.,Growth,Pharmaceutical,December
4591.T,RIBOMIC Inc.,Growth,Pharmaceutical,March
4592.T,SanBio Company Limited,Growth,Pharmaceutical,January
4593.T,HEALIOS K.K.,Growth,Pharmaceutical,December
4594.T,"BrightPath Biotherapeutics Co.,Ltd.",Growth,Pharmaceutical,March
4595.T,"MIZUHO MEDY CO.,LTD.",Standard,Pharmaceutical,December
4596.T,"Kubota Pharmaceutical Holdings Co.,Ltd.",Growth,Pharmaceutical,December
4597.T,Solasia Pharma K.K.,Growth,Pharmaceutical,December
